1.10926694573531e-002	1.37081650986354e-002
8.13488926321815e-002	1.26353790613718e-001
1.39601748610325e-001	2.18999398462502e-001
1.92849741939530e-001	3.15816019623725e-001
2.51160013391055e-001	4.13708518424625e-001
2.82995568408770e-001	4.76834623120416e-001
3.08766282807422e-001	5.24189138935729e-001
3.34536997206075e-001	5.71543654751042e-001
3.54242870985665e-001	6.03126581685877e-001
3.75574927634421e-001	6.29471450818347e-001
3.92663539142778e-001	6.52646102505170e-001
4.13823349371389e-001	6.63250298781290e-001
4.45027334181905e-001	6.68660603003801e-001
4.70166478373358e-001	6.58299318345834e-001
4.86772799905309e-001	6.37400086034879e-001
5.05824137288347e-001	6.09168456115587e-001
5.18072182733135e-001	5.74605224454752e-001
5.31866029384356e-001	5.27458287658588e-001
5.42384544107892e-001	4.88688710086309e-001
5.60559633035627e-001	4.57304529020872e-001
5.75424940751648e-001	4.31149572608049e-001
5.92203508703744e-001	4.25991013153443e-001
6.23315628756849e-001	4.23006291852568e-001
6.55453277496049e-001	4.36816038173340e-001
6.93701699233018e-001	4.70594886136283e-001
7.40517392913517e-001	5.18059816323484e-001
7.83124090737648e-001	5.65502663636307e-001
8.14649602199101e-001	6.00295557190670e-001
8.38530022551031e-001	6.28752432428613e-001
8.64243321476302e-001	6.70860057291809e-001
9.00150075214270e-001	7.21415706576898e-001
9.19993746129976e-001	7.65591171796813e-001
9.41440633725496e-001	8.02429822833515e-001
9.67245797408177e-001	8.52932473220098e-001
9.84391824389916e-001	8.81354015859037e-001
9.97998408266415e-001	8.94017219342125e-001
1.01326562429611e+000	9.04590499594117e-001
1.02837207700033e+000	9.00472485180183e-001
1.04004243445140e+000	8.90040535324207e-001
1.04832262902803e+000	8.77492162787883e-001
1.05987815553233e+000	8.56566431027675e-001
1.07134181727923e+000	8.27245673744081e-001
1.08794813881118e+000	8.06346441433126e-001
1.11993650731959e+000	8.06514271278395e-001
1.15904969441718e+000	8.42396292197060e-001
1.18799239289143e+000	8.71929045074680e-001
